Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,20,141.65,18,64.03,-77.62,2022
AS Roma,38,132.05,39,17.24,-114.82,2022
Milan,28,100.44,27,5.12,-95.32,2022
Fiorentina,43,70.12,44,114.10,43.98,2022
Atalanta,68,68.20,66,51.92,-16.29,2022
Inter,34,42.55,35,206.15,163.60,2022
Hellas Verona,37,42.27,42,38.02,-4.26,2022
Genoa,73,41.74,66,21.36,-20.38,2022
Sassuolo,49,40.12,46,23.40,-16.73,2022
Bologna,36,32.31,35,25.00,-7.31,2022
Spezia,36,30.19,41,5.20,-24.98,2022
Napoli,27,24.40,27,3.20,-21.20,2022
Venezia,36,20.39,35,0.200,-20.19,2022
Cagliari,29,16.93,28,7.37,-9.56,2022
Salernitana,54,14.57,50,-,-14.57,2022
Sampdoria,41,14.51,41,8.86,-5.65,2022
Lazio,33,13.80,35,8.90,-4.90,2022
Torino,31,13.40,29,16.75,3.35,2022
Empoli,41,10.50,38,28.20,17.70,2022
Udinese,26,9.40,29,79.63,70.23,2022
