Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Juventus,18.8,32.1,3.1,27.2,81.2,2017
Roma,18.8,21.0,3.8,23.9,67.5,2017
Napoli,18.8,22.3,3.4,23.0,67.5,2017
Inter,18.8,23.1,3.6,21.7,67.2,2017
Milan,18.8,23.2,3.6,20.7,66.3,2017
Fiorentina,18.8,13.9,2.2,21.4,56.3,2017
Lazio,18.8,12.1,3.8,20.9,55.6,2017
Torino,18.8,8.2,3.1,17.1,47.2,2017
Sampdoria,18.8,8.4,2.7,15.3,45.2,2017
Atalanta,18.8,7.5,1.6,15.6,43.5,2017
Genoa,18.8,7.4,2.7,11.8,40.7,2017
Bologna,18.8,7.3,2.2,9.9,38.2,2017
Udinese,18.8,8.0,1.5,11.2,39.5,2017
Cagliari,18.8,7.1,1.8,9.3,36.9,2017
Chievo Verona,18.8,6.6,2.1,9.0,36.5,2017
Palermo,18.8,7.3,2.9,5.6,34.6,2017
Sassuolo,18.8,6.1,0.4,8.0,33.3,2017
Empoli,18.8,5.4,1.6,4.3,30.1,2017
Pescara,18.8,6.0,1.6,2.3,28.7,2017
Crotone,18.8,4.6,0.9,1.8,26.1,2017
