Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,81,202.23,82,176.93,-25.30,2017
Inter,60,164.63,56,18.50,-146.13,2017
AS Roma,55,102.50,61,76.43,-26.07,2017
Napoli,39,99.09,38,116.81,17.72,2017
Sampdoria,52,39.65,54,80.70,41.05,2017
Lazio,28,36.30,35,28.70,-7.60,2017
Bologna,37,31.40,41,16.98,-14.42,2017
Milan,32,29.56,30,25.15,-4.41,2017
Torino,48,28.77,49,26.52,-2.25,2017
Sassuolo,25,27.51,22,27.80,0.292,2017
Genoa,54,27.20,56,50.30,23.10,2017
Udinese,60,26.50,61,32.60,6.10,2017
Fiorentina,44,16.23,44,31.05,14.82,2017
Atalanta,68,15.94,69,41.33,25.39,2017
Pescara,69,14.29,66,22.27,7.98,2017
Chievo Verona,55,12.57,57,6.28,-6.29,2017
Cagliari,39,9.72,37,12.12,2.40,2017
Palermo,37,8.48,38,29.25,20.78,2017
Empoli,33,7.00,31,15.00,8.00,2017
Crotone,37,5.95,39,7.75,1.80,2017
