Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Juventus,28.8,23.2,,35.6,87.6,2020
Inter,28.8,26.3,,30.4,85.5,2020
Roma,28.8,20.1,,27.0,75.9,2020
Milan,28.8,21.9,,25.5,76.2,2020
Napoli,28.8,19.2,,23.7,71.7,2020
Lazio,28.8,15.7,,22.9,67.4,2020
Fiorentina,28.8,10.3,,20.0,59.1,2020
Bologna,28.8,9.8,,19.2,57.8,2020
Cagliari,28.8,7.1,,16.5,52.4,2020
Torino,28.8,8.7,,17.3,54.8,2020
Sampdoria,28.8,7.6,,15.1,51.5,2020
Genoa,28.8,7.5,,14.7,51.0,2020
Udinese,28.8,6.8,,13.6,49.2,2020
Sassuolo,28.8,7.9,,15.5,52.2,2020
Verona,28.8,7.2,,14.8,50.8,2020
Parma,28.8,6.9,,13.9,49.6,2020
SPAL,28.8,5.1,,7.2,41.1,2020
Lecce,28.8,5.5,,6.5,40.8,2020
Brescia,28.8,5.0,,5.8,38.8,2020
Atalanta,28.8,9.3,,18.6,56.7,2020
