Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,23,235.30,24,208.14,-27.16,2020
Napoli,47,217.12,43,48.72,-168.40,2020
Inter,51,192.02,48,66.74,-125.28,2020
Milan,25,144.08,29,59.23,-84.85,2020
AS Roma,39,126.00,37,107.18,-18.83,2020
Bologna,39,69.54,42,28.68,-40.86,2020
Sassuolo,53,66.87,52,51.95,-14.91,2020
Sampdoria,49,65.25,45,74.59,9.34,2020
Atalanta,79,60.06,78,117.70,57.64,2020
Fiorentina,49,56.54,47,15.32,-41.22,2020
Genoa,74,55.37,75,59.35,3.98,2020
Lazio,38,49.95,36,35.35,-14.60,2020
Cagliari,34,40.10,33,18.86,-21.24,2020
Torino,41,28.80,40,24.40,-4.40,2020
SPAL,40,26.15,36,39.70,13.55,2020
Parma,73,23.31,73,18.46,-4.85,2020
Hellas Verona,57,22.61,57,44.77,22.16,2020
Brescia,18,18.65,20,0.100,-18.55,2020
Udinese,38,13.85,41,60.27,46.42,2020
Lecce,35,5.90,37,0.450,-5.45,2020
