Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Milan,35,186.48,34,39.70,-146.78,2018
Juventus,69,178.00,70,145.65,-32.35,2018
Inter,58,137.63,66,79.24,-58.39,2018
AS Roma,59,91.30,59,166.10,74.80,2018
Fiorentina,45,79.50,43,93.58,14.08,2018
Napoli,34,68.00,33,17.45,-50.55,2018
Atalanta,77,66.59,80,78.04,11.45,2018
Sampdoria,41,51.00,43,71.46,20.46,2018
Sassuolo,33,46.70,34,19.25,-27.45,2018
Cagliari,34,31.09,34,19.88,-11.22,2018
Lazio,29,28.25,23,73.92,45.67,2018
Torino,38,26.38,39,79.80,53.42,2018
Benevento,36,23.48,34,3.98,-19.50,2018
Udinese,35,22.59,37,17.70,-4.89,2018
Genoa,58,14.17,55,46.72,32.55,2018
Bologna,37,13.00,34,-,-13.00,2018
SPAL,33,8.74,31,0.574,-8.16,2018
Hellas Verona,37,3.05,34,8.05,5.00,2018
Crotone,34,3.00,34,-,-3.00,2018
Chievo Verona,60,2.95,59,17.67,14.72,2018
