Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Juventus,21.0,39.4,3.6,39.1,103.1,2018
Milan,21.0,29.3,2.7,27.3,80.3,2018
Inter,21.0,27.5,2.5,27.2,78.2,2018
Roma,21.0,25.7,2.3,23.7,72.7,2018
Napoli,21.0,22.9,2.1,23.7,69.7,2018
Lazio,21.0,16.5,1.5,16.4,55.4,2018
Fiorentina,21.0,12.8,1.2,16.2,51.2,2018
Torino,21.0,10.9,1.1,8.3,41.3,2018
Sampdoria,21.0,8.2,0.8,6.5,36.5,2018
Genoa,21.0,7.3,0.7,6.0,35.0,2018
Bologna,21.0,6.4,0.6,5.5,33.5,2018
Atalanta,21.0,5.5,0.5,5.0,32.0,2018
Udinese,21.0,4.6,0.4,4.5,30.5,2018
Sassuolo,21.0,3.7,0.3,4.0,29.0,2018
Cagliari,21.0,3.2,0.3,3.5,28.0,2018
Chievo Verona,21.0,2.7,0.3,3.0,27.0,2018
SPAL,21.0,2.2,0.3,2.5,26.0,2018
Hellas Verona,21.0,1.8,0.2,2.0,25.0,2018
Crotone,21.0,1.3,0.2,1.5,24.0,2018
Benevento,21.0,0.9,0.1,1.0,23.0,2018
