Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,41,265.30,35,112.54,-152.76,2019
Milan,26,194.64,28,88.10,-106.54,2019
AS Roma,45,161.35,46,150.47,-10.88,2019
Inter,51,97.60,54,91.17,-6.43,2019
Napoli,31,71.00,35,100.80,29.80,2019
Atalanta,77,60.80,80,20.06,-40.74,2019
Fiorentina,42,60.77,43,43.39,-17.38,2019
Genoa,69,59.07,71,86.46,27.39,2019
Sampdoria,45,56.70,44,90.12,33.42,2019
Sassuolo,42,53.97,40,50.38,-3.59,2019
Torino,47,53.15,48,17.20,-35.95,2019
Udinese,44,52.90,43,13.53,-39.37,2019
Lazio,27,51.28,30,38.60,-12.68,2019
Bologna,38,31.22,38,44.99,13.78,2019
Parma,50,23.80,48,0.596,-23.21,2019
Cagliari,33,22.50,31,7.85,-14.65,2019
SPAL,39,21.90,41,1.85,-20.05,2019
Empoli,44,17.30,43,22.90,5.60,2019
Frosinone,25,9.56,24,0.800,-8.76,2019
Chievo Verona,52,9.47,52,17.62,8.15,2019
