Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Juventus,28.8,23.7,,32.8,85.3,2019
Inter,28.8,25.9,,29.0,83.7,2019
Milan,28.8,22.6,,25.9,77.3,2019
Napoli,28.8,19.5,,28.7,77.0,2019
Roma,28.8,18.6,,24.0,71.4,2019
Lazio,28.8,13.5,,26.0,68.3,2019
Fiorentina,28.8,11.8,,24.6,65.2,2019
Sampdoria,28.8,9.3,,22.4,60.5,2019
Atalanta,28.8,9.0,,19.1,56.9,2019
Torino,28.8,8.9,,18.9,56.6,2019
Genoa,28.8,9.6,,13.9,52.3,2019
Sassuolo,28.8,5.9,,16.7,51.4,2019
Cagliari,28.8,7.3,,10.9,47.0,2019
Bologna,28.8,9.5,,8.1,46.4,2019
Udinese,28.8,7.7,,9.2,45.7,2019
Parma,28.8,6.1,,10.6,45.5,2019
Empoli,28.8,4.8,,8.2,41.8,2019
SPAL,28.8,5.4,,6.6,40.8,2019
Chievo Verona,28.8,5.6,,6.0,40.4,2019
Frosinone,28.8,5.2,,2.5,36.5,2019
