Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Juventus,16.7,50.8,2.5,24.0,94.0,2015
Roma,16.7,17.2,7.9,20.2,62.0,2015
Milan,16.7,30.6,5.6,21.2,74.1,2015
Inter,16.7,35.7,5.4,20.0,77.8,2015
Napoli,16.7,18.5,5.2,18.8,59.2,2015
Fiorentina,16.7,5.7,2.4,17.6,42.4,2015
Lazio,16.7,8.1,7.9,17.8,50.5,2015
Genoa,16.7,4.9,2.3,11.8,35.7,2015
Torino,16.7,3.1,2.6,11.0,33.4,2015
Sampdoria,16.7,2.9,2.3,14.2,36.1,2015
Palermo,16.7,1.5,3.1,10.4,31.7,2015
Verona,16.7,2.2,1.8,7.0,27.7,2015
Atalanta,16.7,1.1,1.9,8.8,28.5,2015
Parma,16.7,1.4,1.4,9.4,28.9,2015
Udinese,16.7,0.8,1.5,12.6,31.6,2015
Chievo,16.7,0.6,1.8,8.8,27.9,2015
Cagliari,16.7,0.7,1.5,7.6,26.5,2015
Cesena,16.7,0.5,1.4,4.4,23.0,2015
Empoli,16.7,0.4,0.7,3.0,20.8,2015
Sassuolo,16.7,0.6,0.1,3.4,20.8,2015
