Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
AS Roma,47,101.41,44,41.60,-59.81,2015
Juventus,62,55.10,61,25.91,-29.19,2015
Napoli,40,34.80,39,20.45,-14.35,2015
Udinese,54,29.20,59,25.40,-3.80,2015
Sampdoria,57,24.35,52,26.52,2.17,2015
Torino,38,23.20,40,33.86,10.66,2015
Cagliari,29,22.60,28,21.93,-0.675,2015
Hellas Verona,59,22.26,57,31.25,8.99,2015
Parma,218,19.74,215,18.70,-1.04,2015
Palermo,41,19.70,41,18.50,-1.20,2015
Sassuolo,29,19.30,31,12.60,-6.70,2015
Inter,57,16.95,53,23.60,6.65,2015
Milan,61,16.90,60,28.20,11.30,2015
Lazio,33,12.75,32,0.150,-12.60,2015
Atalanta,49,11.99,54,20.00,8.01,2015
Cesena,54,9.85,56,14.65,4.80,2015
Fiorentina,39,9.10,36,38.00,28.90,2015
Chievo Verona,74,8.60,76,5.04,-3.56,2015
Genoa,57,7.45,60,25.95,18.50,2015
Empoli,33,1.41,34,0.358,-1.05,2015
