Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Atalanta,18.5,2.5,0.3,9.4,30.7,2016
Bologna,18.5,3.9,1.1,10.0,33.5,2016
Carpi,18.5,1.0,0.2,2.3,22.0,2016
Chievo,18.5,2.0,0.7,9.4,30.6,2016
Empoli,18.5,1.6,0.1,5.6,25.8,2016
Fiorentina,18.5,7.9,1.0,17.6,45.0,2016
Frosinone,18.5,1.0,0.1,2.4,22.0,2016
Genoa,18.5,3.4,1.6,11.7,35.2,2016
Inter,18.5,31.1,3.7,18.7,72.0,2016
Juventus,18.5,49.7,2.5,23.1,93.8,2016
Lazio,18.5,7.6,7.9,17.1,51.1,2016
Milan,18.5,31.6,3.7,21.0,74.8,2016
Napoli,18.5,20.0,2.7,19.2,60.4,2016
Palermo,18.5,5.3,1.9,7.4,33.1,2016
Roma,18.5,16.9,7.9,20.1,63.4,2016
Sampdoria,18.5,3.8,1.6,12.3,36.2,2016
Sassuolo,18.5,2.1,0.1,5.1,25.8,2016
Torino,18.5,6.0,2.5,13.3,40.3,2016
Udinese,18.5,2.6,0.3,11.1,32.5,2016
Verona,18.5,2.1,0.7,6.2,27.5,2016
