Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,82,153.50,83,81.28,-72.22,2016
Inter,60,102.45,72,115.32,12.87,2016
Milan,51,102.28,57,11.16,-91.12,2016
AS Roma,61,60.85,61,102.25,41.40,2016
Napoli,34,42.70,36,18.29,-24.41,2016
Sampdoria,59,34.67,59,16.82,-17.85,2016
Lazio,35,31.25,37,2.37,-28.88,2016
Sassuolo,21,30.70,28,25.00,-5.70,2016
Torino,42,28.05,43,19.75,-8.30,2016
Atalanta,74,26.68,73,37.95,11.27,2016
Bologna,45,26.63,45,0.800,-25.83,2016
Fiorentina,43,24.40,52,26.85,2.45,2016
Udinese,62,21.42,62,74.12,52.70,2016
Genoa,51,16.70,50,43.15,26.45,2016
Palermo,41,12.25,41,52.90,40.65,2016
Empoli,33,6.35,33,11.50,5.15,2016
Hellas Verona,49,6.30,54,2.05,-4.25,2016
Chievo Verona,71,6.13,71,15.40,9.27,2016
Frosinone,22,0.400,23,0.200,-0.200,2016
Carpi,41,0.300,40,0.275,-0.025,2016
