Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,20,162.81,20,110.56,-52.25,2021
Inter,35,126.75,41,82.95,-43.80,2021
Parma,59,103.93,52,4.00,-99.93,2021
Napoli,37,81.15,38,123.06,41.91,2021
AS Roma,33,75.10,32,49.00,-26.10,2021
Genoa,59,65.43,62,71.79,6.36,2021
Atalanta,61,62.54,60,78.40,15.87,2021
Fiorentina,44,59.80,44,59.89,0.090,2021
Torino,34,46.70,30,26.13,-20.58,2021
Lazio,27,42.70,28,7.85,-34.85,2021
Cagliari,31,34.18,34,42.66,8.48,2021
Milan,28,32.02,26,51.65,19.63,2021
Sassuolo,37,29.66,40,62.36,32.70,2021
Udinese,32,23.00,28,31.55,8.55,2021
Hellas Verona,53,18.95,51,5.40,-13.55,2021
Sampdoria,34,17.75,37,12.10,-5.65,2021
Benevento,26,11.60,23,1.00,-10.60,2021
Crotone,34,5.49,32,-,-5.49,2021
Spezia,35,5.14,29,1.96,-3.18,2021
Bologna,29,3.15,28,5.00,1.85,2021
